Account,Text,Date,Compound,Positive,Neutral,Negative
@CBS,"In case you missed any, here's a rundown of all the performers from Country Music's Party of the Year®:… https://t.co/KtRKXkUpmI",04/16/18,0.128,0.123,0.776,0.1
@CBS,The #ACMawards crowd was roaring for Vocal Event Of The Year winners @KeithUrban and @carrieunderwood! Here is the… https://t.co/rFB5f2lVo7,04/16/18,0.525,0.159,0.841,0.0
@CBS,RT @AmberLee_RN: Anyone else crying from that @Jason_Aldean acceptance speech?! Wow! Congrats Jason! #vegasstrong #ACMawards,04/16/18,0.839,0.44,0.437,0.123
@CBS,"Put your hands up for Entertainer of the Year, @Jason_Aldean! 🙌 #ACMawards https://t.co/QLFrrsyU8R",04/16/18,0.439,0.208,0.792,0.0
@CBS,RT @min_d24: Love how @LukeBryanOnline was straight fan girling on @reba and @kelly_clarkson tonight on the #ACMawards! Y'all #killedit,04/16/18,0.827,0.352,0.648,0.0
@CBS,"Was that ""A-sharp"" performance by @reba and @kelly_clarkson or what!? 🎼 #ACMawards https://t.co/19pDyrELqC",04/16/18,0.0,0.0,1.0,0.0
@CBS,The news keeps getting better and better. @ChrisStapleton deserves a standing ovation tonight! He wins again for Ma… https://t.co/6m7nZFwPyK,04/16/18,0.869,0.395,0.605,0.0
@CBS,RT @MattBoveHS: Most People Are Good is such a powerful song #ACMawards @LukeBryanOnline,04/16/18,0.715,0.374,0.626,0.0
@CBS,We have our #ACMawards Female Vocalist of the Year: @mirandalambert! 👏 https://t.co/Xu7WPuv1f2,04/16/18,0.0,0.0,1.0,0.0
@CBS,"Without this talented group of women, @mirandalambert @reba @MarenMorris @KelseaBallerini and @carrieunderwood, lif… https://t.co/Zwqh2PAdM1",04/16/18,0.511,0.202,0.798,0.0
@CBS,RT @ElizabethGilbe3: @carrieunderwood never disappoints! What an amazing voice and beautiful soul! #ACMawards #girlcrush,04/16/18,0.888,0.488,0.512,0.0
@CBS,RT @SarahJPrimo: I could listen to Dan and Shay all day  #ACMawards,04/16/18,0.0,0.0,1.0,0.0
@CBS,RT @MegsMouthful: @carrieunderwood Just WOW. Can’t wait to hear more of your new music! #ACMawards,04/16/18,0.703,0.256,0.744,0.0
@CBS,Hugs for @CarrieUnderwood and @KeithUrban's big win for Vocal Event of the Year! #ACMawards https://t.co/nn2XJ6nCSi,04/16/18,0.807,0.359,0.641,0.0
@CBS,Always be yourself. Unless you can be @carrieunderwood. Then be Carrie Underwood! #ACMawards #CryPretty https://t.co/32n0QJ1FLD,04/16/18,0.0,0.0,1.0,0.0
@CBS,"RT @VeldmanKylie: Carrie Underwood gives me chills everytime she performs, she always kills it 🔥❤ #ACMawards",04/16/18,-0.542,0.0,0.811,0.189
@CBS,Hands up for @littlebigtown at the #ACMawards🙌 https://t.co/o8YFtpGLfK,04/16/18,0.0,0.0,1.0,0.0
@CBS,RT @reba: So good to see my friend Eve twice this week! @therealeve @acmawards #acmawards https://t.co/a6LxEaQt8L,04/16/18,0.771,0.323,0.677,0.0
@CBS,See all the amazing red carpet looks from the 53rd #ACMawards: https://t.co/ZeZiMXphFK https://t.co/Gi79cuuVPm,04/16/18,0.586,0.241,0.759,0.0
@CBS,RT @maddymika_: the ACM awards are the BEST night of the year 😍😍😍❣️❣️❣️ #ACMAwards,04/16/18,0.837,0.398,0.602,0.0
@CBS,🚨 Sound the alarm because @mirandalambert is on FIRE 🔥 at the #ACMawards! https://t.co/11vshBs4EV,04/16/18,-0.703,0.0,0.632,0.368
